presentnYear,unityGrupNm,unityGrupCode,smerNm,repreCmpny,sumCmpnyCo,invstmntLmtt,entrprsCl
202505,삼성,K1000032,이재용,삼성전자(주),63,상호출자제한집단,일반
202505,에스케이,K1000050,최태원,에스케이(주),198,상호출자제한집단,일반
202505,현대자동차,K3000027,정의선,현대자동차(주),74,상호출자제한집단,일반
202505,엘지,K1000051,구광모,(주)엘지,63,상호출자제한집단,일반
202505,롯데,K1000027,신동빈,롯데지주(주),92,상호출자제한집단,일반
202505,한화,K1000082,김승연,(주)한화,119,상호출자제한집단,일반
202505,HD현대,K3000052,정몽준,에이치디한국조선해양(주),32,상호출자제한집단,일반
202505,지에스,K3000076,허창수,(주)지에스,98,상호출자제한집단,일반
202505,신세계,K1000042,이명희,(주)신세계,59,상호출자제한집단,일반
202505,한진,K1000081,조원태,(주)한진칼,42,상호출자제한집단,일반
202505,씨제이,K1000055,이재현,씨제이(주),66,상호출자제한집단,일반
202505,엘에스,K3000062,구자은,(주)엘에스,72,상호출자제한집단,일반
202505,카카오,K3000137,김범수,(주)카카오,115,상호출자제한집단,일반
202505,두산,K1000026,박정원,(주)두산,24,상호출자제한집단,일반
202505,DL,K1000011,이해욱,디엘(주),45,상호출자제한집단,일반
202505,중흥건설,K3000139,정창선,중흥건설(주),51,상호출자제한집단,일반
202505,셀트리온,K3000135,서정진,(주)셀트리온홀딩스,9,상호출자제한집단,일반
202505,네이버,K3000138,이해진,네이버(주),45,상호출자제한집단,일반
202505,미래에셋,K3000093,박현주,미래에셋캐피탈(주),28,상호출자제한집단,일반
202505,현대백화점,K1000087,정지선,(주)현대지에프홀딩스,24,상호출자제한집단,일반
202505,한국앤컴퍼니그룹(舊 한국타이어),K1000074,조양래,한국앤컴퍼니(주),25,상호출자제한집단,일반
202505,부영,K2000060,이중근,(주)부영,21,상호출자제한집단,일반
202505,영풍,K1000052,장형진,(주)영풍,30,상호출자제한집단,일반
202505,하림,K3000121,김홍국,(주)하림지주,43,상호출자제한집단,일반
202505,효성,K1000086,조현준,(주)효성,60,상호출자제한집단,일반
202505,장금상선,K3000144,정태순,장금상선(주),28,상호출자제한집단,일반
202505,SM,K3000134,우오현,대한해운(주),58,상호출자제한집단,일반
202505,에이치디씨,K2000057,정몽규,에이치디씨(주),34,상호출자제한집단,일반
202505,호반건설,K3000145,김상열,(주)호반건설,40,상호출자제한집단,일반
202505,코오롱,K1000059,이웅열,(주)코오롱,45,상호출자제한집단,일반
202505,케이씨씨,K1000001,정몽진,(주)케이씨씨,13,상호출자제한집단,일반
202505,DB,K1000021,김준기,(주)디비아이엔씨,24,상호출자제한집단,일반
202505,넥슨,K3000119,유정현,(주)엔엑스씨,23,상호출자제한집단,일반
202505,오씨아이,K1000024,이우현,오씨아이홀딩스(주),24,상호출자제한집단,일반
202505,엘엑스,K3000280,구본준,(주)엘엑스홀딩스,17,상호출자제한집단,일반
202505,세아,K1000041,이순형,(주)세아홀딩스,24,상호출자제한집단,일반
202505,넷마블,K3000162,방준혁,넷마블(주),31,상호출자제한집단,일반
202505,이랜드,K2000038,박성수,(주)이랜드월드,32,상호출자제한집단,일반
202505,교보생명보험,K3000065,신창재,교보생명보험(주),16,공시대상기업집단,일반
202505,다우키움,K3000156,김익래,키움증권(주),45,공시대상기업집단,일반
202505,금호석유화학,K3000140,박찬구,금호석유화학(주),16,공시대상기업집단,일반
202505,대방건설,K3000189,구교운,대방건설(주),41,공시대상기업집단,일반
202505,태영,K2000045,윤세영,(주)티와이홀딩스,51,공시대상기업집단,일반
202505,삼천리,K2000025,이만득,(주)삼천리,33,공시대상기업집단,일반
202505,KG,K3000211,곽재선,케이지케미칼(주),26,공시대상기업집단,일반
202505,에코프로,K3000268,이동채,(주)에코프로,17,공시대상기업집단,일반
202505,HL,K1000076,정몽원,에이치엘홀딩스(주),15,공시대상기업집단,일반
202505,동원,K1000025,김남정,동원산업(주),23,공시대상기업집단,일반
202505,아모레퍼시픽,K1000062,서경배,(주)아모레퍼시픽홀딩스,15,공시대상기업집단,일반
202505,태광,K1000060,이호진,태광산업(주),20,공시대상기업집단,일반
202505,크래프톤,K3000257,장병규,(주)크래프톤,9,공시대상기업집단,일반
202505,글로벌세아,K3000254,김웅기,글로벌세아(주),23,공시대상기업집단,일반
202505,엠디엠,K3000184,문주현,(주)엠디엠,19,공시대상기업집단,일반
202505,소노인터내셔널,K3000201,박춘희,(주)소노인터내셔널,25,공시대상기업집단,일반
202505,애경,K2000035,장영신,에이케이홀딩스(주),30,공시대상기업집단,일반
202505,동국제강,K1000020,장세주,동국홀딩스(주),16,공시대상기업집단,일반
202505,BS(舊 보성),K3000153,이기승,(주)비에스보성,66,공시대상기업집단,일반
202505,삼양,K1000033,김윤,(주)삼양홀딩스,13,공시대상기업집단,일반
202505,엘아이지,K3000220,구본상,(주)엘아이지,18,공시대상기업집단,일반
202505,중앙,K2000062,홍석현,중앙홀딩스(주),57,공시대상기업집단,일반
202505,유진,K3000161,유경선,유진기업(주),63,공시대상기업집단,일반
202505,고려에이치씨,K3000281,박정석,(주)고려에이치씨,26,공시대상기업집단,일반
202505,BGF,K3000178,홍석조,(주)비지에프,19,공시대상기업집단,일반
202505,대광,K3000303,조영훈,(주)대광건영,64,공시대상기업집단,일반
202505,반도홀딩스,K3000158,권홍사,(주)반도홀딩스,15,공시대상기업집단,일반
202505,대신,K3000064,양홍석,대신증권(주),84,공시대상기업집단,일반
202505,오케이금융그룹,K3000199,최윤,오케이홀딩스대부(주),16,공시대상기업집단,일반
202505,하이트진로,K1000067,박문덕,하이트진로홀딩스(주),12,공시대상기업집단,일반
202505,농심,K2000005,신동원,(주)농심,22,공시대상기업집단,일반
202505,DN,K3000282,김상헌,(주)디엔오토모티브,7,공시대상기업집단,일반
202505,현대해상화재보험,K3000198,정몽윤,현대해상화재보험(주),14,공시대상기업집단,일반
202505,신영,K3000258,정춘보,(주)신영,32,공시대상기업집단,일반
202505,파라다이스,K3000164,전필립,(주)파라다이스글로벌,11,공시대상기업집단,일반
202505,아이에스지주,K3000167,권혁운,아이에스지주(주),32,공시대상기업집단,일반
202505,하이브,K3000284,방시혁,(주)하이브,12,공시대상기업집단,일반
202505,한솔,K1000077,조동길,한솔홀딩스(주),21,공시대상기업집단,일반
202505,삼표,K3000160,정도원,(주)삼표산업,28,공시대상기업집단,일반
202505,사조,K3000219,주진우,사조산업(주),40,공시대상기업집단,일반
202505,원익,K3000223,이용한,(주)원익홀딩스,47,공시대상기업집단,일반
202505,빗썸,K3000279,이정훈,(주)빗썸홀딩스,20,공시대상기업집단,일반
202505,영원,K3000206,성기학,(주)영원무역홀딩스,20,공시대상기업집단,일반
